Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [LSB]	G_Y [LSB]	G_Z [LSB]	G_X [dps]	G_Y [dps]	G_Z [dps]	T [LSB]	T [degC]	QVAR [LSB]	
2192823	-36	1782	-7911	-4.392	217.404	-965.142	-4	5	-1	-0.560	0.700	-0.140	-347	23.645	232	
2193827	-46	1771	-7896	-5.612	216.062	-963.312	-4	4	-1	-0.560	0.560	-0.140	-347	23.645	232	
2194831	-33	1778	-7881	-4.026	216.916	-961.482	-4	4	0	-0.560	0.560	0.000	-347	23.645	232	
2195834	-25	1782	-7890	-3.050	217.404	-962.580	-4	3	1	-0.560	0.420	0.140	-347	23.645	232	
2196837	-37	1772	-7874	-4.514	216.184	-960.628	-3	4	0	-0.420	0.560	0.000	-347	23.645	216	
2197841	-47	1785	-7863	-5.734	217.770	-959.286	-4	6	0	-0.560	0.840	0.000	-347	23.645	216	
2198844	-20	1783	-7884	-2.440	217.526	-961.848	-4	5	1	-0.560	0.700	0.140	-347	23.645	216	
2199847	-19	1784	-7874	-2.318	217.648	-960.628	-4	4	2	-0.560	0.560	0.280	-347	23.645	216	
2200851	-15	1790	-7904	-1.830	218.380	-964.288	-3	5	0	-0.420	0.700	0.000	-347	23.645	276	
2201855	-38	1790	-7896	-4.636	218.380	-963.312	-4	4	0	-0.560	0.560	0.000	-347	23.645	276	
2202858	-14	1779	-7902	-1.708	217.038	-964.044	-4	4	-1	-0.560	0.560	-0.140	-351	23.629	276	
2203861	-8	1784	-7893	-0.976	217.648	-962.946	-3	5	1	-0.420	0.700	0.140	-351	23.629	276	
2204865	-6	1778	-7904	-0.732	216.916	-964.288	-4	5	0	-0.560	0.700	0.000	-351	23.629	244	
2205869	-7	1777	-7887	-0.854	216.794	-962.214	-1	5	0	-0.140	0.700	0.000	-351	23.629	244	
2206872	-16	1775	-7887	-1.952	216.550	-962.214	-2	6	-1	-0.280	0.840	-0.140	-351	23.629	244	
2207876	-10	1780	-7868	-1.220	217.160	-959.896	-3	7	1	-0.420	0.980	0.140	-351	23.629	244	
2208880	1	1761	-7875	0.122	214.842	-960.750	-3	6	1	-0.420	0.840	0.140	-351	23.629	248	
2209883	3	1778	-7914	0.366	216.916	-965.508	-3	7	1	-0.420	0.980	0.140	-351	23.629	248	
2210886	-12	1762	-7906	-1.464	214.964	-964.532	-5	4	0	-0.700	0.560	0.000	-351	23.629	248	
2211890	4	1776	-7894	0.488	216.672	-963.068	-2	6	0	-0.280	0.840	0.000	-351	23.629	248	
2212894	-1	1765	-7899	-0.122	215.330	-963.678	-2	6	-1	-0.280	0.840	-0.140	-351	23.629	248	
2213897	-11	1784	-7907	-1.342	217.648	-964.654	-3	6	-1	-0.420	0.840	-0.140	-351	23.629	248	
2214901	12	1773	-7890	1.464	216.306	-962.580	-3	5	0	-0.420	0.700	0.000	-351	23.629	248	
2215905	8	1770	-7898	0.976	215.940	-963.556	-2	6	0	-0.280	0.840	0.000	-351	23.629	248	
2216908	-2	1780	-7882	-0.244	217.160	-961.604	-2	6	-1	-0.280	0.840	-0.140	-351	23.629	268	
2217911	1	1764	-7901	0.122	215.208	-963.922	-2	6	-1	-0.280	0.840	-0.140	-351	23.629	268	
2218915	-12	1772	-7881	-1.464	216.184	-961.482	-4	4	0	-0.560	0.560	0.000	-347	23.645	268	
2219919	3	1780	-7902	0.366	217.160	-964.044	-2	6	-1	-0.280	0.840	-0.140	-347	23.645	268	
2220922	0	1767	-7896	0.000	215.574	-963.312	-2	5	0	-0.280	0.700	0.000	-347	23.645	336	
2221925	2	1766	-7879	0.244	215.452	-961.238	-3	7	0	-0.420	0.980	0.000	-347	23.645	336	
2222929	5	1758	-7877	0.610	214.476	-960.994	-2	7	-2	-0.280	0.980	-0.280	-347	23.645	336	
2223932	10	1761	-7883	1.220	214.842	-961.726	-3	5	-1	-0.420	0.700	-0.140	-347	23.645	336	
2224935	22	1751	-7869	2.684	213.622	-960.018	-2	6	0	-0.280	0.840	0.000	-347	23.645	316	
2225939	-1	1746	-7893	-0.122	213.012	-962.946	-4	6	-2	-0.560	0.840	-0.280	-347	23.645	316	
2226943	-15	1752	-7884	-1.830	213.744	-961.848	-2	6	-2	-0.280	0.840	-0.280	-347	23.645	316	
2227946	4	1752	-7883	0.488	213.744	-961.726	-2	6	-1	-0.280	0.840	-0.140	-347	23.645	316	
2228949	0	1744	-7876	0.000	212.768	-960.872	-3	6	-1	-0.420	0.840	-0.140	-347	23.645	324	
2229953	14	1741	-7869	1.708	212.402	-960.018	-2	6	-2	-0.280	0.840	-0.280	-347	23.645	324	
2230956	13	1747	-7874	1.586	213.134	-960.628	-2	7	-2	-0.280	0.980	-0.280	-347	23.645	324	
2231959	20	1731	-7873	2.440	211.182	-960.506	-2	6	-1	-0.280	0.840	-0.140	-347	23.645	324	
2232963	3	1747	-7884	0.366	213.134	-961.848	-2	7	-1	-0.280	0.980	-0.140	-347	23.645	328	
2233967	25	1724	-7885	3.050	210.328	-961.970	-4	7	-2	-0.560	0.980	-0.280	-347	23.645	328	
2234970	35	1754	-7871	4.270	213.988	-960.262	-4	8	-1	-0.560	1.120	-0.140	-351	23.629	328	
2235973	8	1722	-7874	0.976	210.084	-960.628	-1	6	-2	-0.140	0.840	-0.280	-351	23.629	328	
2236977	22	1750	-7890	2.684	213.500	-962.580	-3	6	-2	-0.420	0.840	-0.280	-351	23.629	256	
2237980	19	1750	-7866	2.318	213.500	-959.652	-3	6	-2	-0.420	0.840	-0.280	-351	23.629	256	
2238983	19	1748	-7889	2.318	213.256	-962.458	-3	6	-1	-0.420	0.840	-0.140	-351	23.629	256	
2239987	39	1756	-7886	4.758	214.232	-962.092	-3	5	-2	-0.420	0.700	-0.280	-351	23.629	256	
2240991	41	1737	-7875	5.002	211.914	-960.750	-4	5	-3	-0.560	0.700	-0.420	-351	23.629	280	
2241994	37	1744	-7885	4.514	212.768	-961.970	-3	4	-2	-0.420	0.560	-0.280	-351	23.629	280	
2242997	28	1748	-7881	3.416	213.256	-961.482	-4	6	-2	-0.560	0.840	-0.280	-351	23.629	280	
2244001	31	1718	-7875	3.782	209.596	-960.750	-4	6	-3	-0.560	0.840	-0.420	-351	23.629	280	
2245004	18	1730	-7881	2.196	211.060	-961.482	-3	6	-2	-0.420	0.840	-0.280	-351	23.629	208	
2246007	31	1749	-7898	3.782	213.378	-963.556	-4	6	-2	-0.560	0.840	-0.280	-351	23.629	208	
2247011	36	1748	-7892	4.392	213.256	-962.824	-4	6	-2	-0.560	0.840	-0.280	-351	23.629	208	
2248015	43	1736	-7873	5.246	211.792	-960.506	-3	5	-1	-0.420	0.700	-0.140	-351	23.629	208	
2249018	31	1748	-7883	3.782	213.256	-961.726	-3	6	-3	-0.420	0.840	-0.420	-351	23.629	228	
2250021	23	1749	-7873	2.806	213.378	-960.506	-4	6	-2	-0.560	0.840	-0.280	-351	23.629	228	
2251025	40	1745	-7879	4.880	212.890	-961.238	-5	5	-2	-0.700	0.700	-0.280	-351	23.629	228	
2252029	46	1752	-7873	5.612	213.744	-960.506	-4	4	-3	-0.560	0.560	-0.420	-351	23.629	228	
2253032	28	1750	-7883	3.416	213.500	-961.726	-3	5	-3	-0.420	0.700	-0.420	-351	23.629	256	
2254035	13	1725	-7921	1.586	210.450	-966.362	-3	4	-4	-0.420	0.560	-0.560	-351	23.629	256	
2255039	50	1743	-7882	6.100	212.646	-961.604	-4	6	-2	-0.560	0.840	-0.280	-351	23.629	256	
2256042	26	1738	-7897	3.172	212.036	-963.434	-6	7	-3	-0.840	0.980	-0.420	-351	23.629	256	
2257045	37	1743	-7895	4.514	212.646	-963.190	-6	5	-3	-0.840	0.700	-0.420	-351	23.629	224	
2258049	45	1730	-7901	5.490	211.060	-963.922	-4	6	-2	-0.560	0.840	-0.280	-351	23.629	224	
2259053	48	1744	-7878	5.856	212.768	-961.116	-4	6	-3	-0.560	0.840	-0.420	-351	23.629	224	
2260056	34	1754	-7882	4.148	213.988	-961.604	-4	3	-4	-0.560	0.420	-0.560	-351	23.629	224	
2261060	24	1752	-7893	2.928	213.744	-962.946	-6	4	-4	-0.840	0.560	-0.560	-351	23.629	220	
2262064	34	1742	-7886	4.148	212.524	-962.092	-7	5	-3	-0.980	0.700	-0.420	-351	23.629	220	
2263067	38	1749	-7887	4.636	213.378	-962.214	-6	4	-4	-0.840	0.560	-0.560	-351	23.629	220	
2264070	38	1754	-7879	4.636	213.988	-961.238	-7	4	-4	-0.980	0.560	-0.560	-351	23.629	220	
2265074	55	1738	-7881	6.710	212.036	-961.482	-6	7	-4	-0.840	0.980	-0.560	-351	23.629	240	
2266078	55	1747	-7898	6.710	213.134	-963.556	-6	5	-4	-0.840	0.700	-0.560	-351	23.629	240	
2267081	36	1755	-7889	4.392	214.110	-962.458	-7	4	-3	-0.980	0.560	-0.420	-351	23.629	240	
2268084	31	1739	-7895	3.782	212.158	-963.190	-6	4	-3	-0.840	0.560	-0.420	-351	23.629	240	
2269088	53	1744	-7866	6.466	212.768	-959.652	-5	4	-3	-0.700	0.560	-0.420	-351	23.629	264	
2270091	26	1746	-7878	3.172	213.012	-961.116	-7	5	-3	-0.980	0.700	-0.420	-351	23.629	264	
2271094	46	1760	-7908	5.612	214.720	-964.776	-7	3	-4	-0.980	0.420	-0.560	-351	23.629	264	
2272098	41	1755	-7907	5.002	214.110	-964.654	-6	5	-3	-0.840	0.700	-0.420	-351	23.629	264	
2273102	45	1765	-7879	5.490	215.330	-961.238	-7	4	-4	-0.980	0.560	-0.560	-351	23.629	220	
2274105	43	1775	-7888	5.246	216.550	-962.336	-6	3	-4	-0.840	0.420	-0.560	-351	23.629	220	
2275108	34	1754	-7896	4.148	213.988	-963.312	-7	4	-3	-0.980	0.560	-0.420	-351	23.629	220	
2276112	45	1760	-7881	5.490	214.720	-961.482	-7	4	-4	-0.980	0.560	-0.560	-351	23.629	220	
2277115	33	1747	-7895	4.026	213.134	-963.190	-7	5	-4	-0.980	0.700	-0.560	-351	23.629	176	
2278118	46	1752	-7904	5.612	213.744	-964.288	-7	4	-4	-0.980	0.560	-0.560	-351	23.629	176	
2279122	38	1763	-7882	4.636	215.086	-961.604	-6	5	-4	-0.840	0.700	-0.560	-351	23.629	176	
2280126	23	1737	-7882	2.806	211.914	-961.604	-7	4	-3	-0.980	0.560	-0.420	-351	23.629	176	
2281129	51	1762	-7895	6.222	214.964	-963.190	-6	4	-3	-0.840	0.560	-0.420	-351	23.629	204	
2282132	57	1772	-7883	6.954	216.184	-961.726	-6	4	-4	-0.840	0.560	-0.560	-351	23.629	204	
2283136	39	1757	-7885	4.758	214.354	-961.970	-7	3	-4	-0.980	0.420	-0.560	-351	23.629	204	
2284139	30	1745	-7886	3.660	212.890	-962.092	-7	4	-5	-0.980	0.560	-0.700	-351	23.629	204	
2285142	37	1760	-7880	4.514	214.720	-961.360	-7	4	-4	-0.980	0.560	-0.560	-351	23.629	192	
2286146	38	1762	-7911	4.636	214.964	-965.142	-7	3	-4	-0.980	0.420	-0.560	-351	23.629	192	
2287150	51	1776	-7900	6.222	216.672	-963.800	-6	2	-4	-0.840	0.280	-0.560	-351	23.629	192	
2288153	21	1784	-7898	2.562	217.648	-963.556	-5	2	-4	-0.700	0.280	-0.560	-351	23.629	192	
2289156	35	1763	-7893	4.270	215.086	-962.946	-6	5	-4	-0.840	0.700	-0.560	-351	23.629	216	
2290160	34	1770	-7901	4.148	215.940	-963.922	-7	3	-4	-0.980	0.420	-0.560	-351	23.629	216	
2291163	24	1752	-7890	2.928	213.744	-962.580	-6	3	-3	-0.840	0.420	-0.420	-351	23.629	216	
2292166	52	1751	-7913	6.344	213.622	-965.386	-7	4	-3	-0.980	0.560	-0.420	-351	23.629	216	
2293169	40	1786	-7897	4.880	217.892	-963.434	-7	3	-3	-0.980	0.420	-0.420	-351	23.629	276	
2294173	38	1768	-7902	4.636	215.696	-964.044	-6	6	-4	-0.840	0.840	-0.560	-351	23.629	276	
2295176	41	1775	-7888	5.002	216.550	-962.336	-9	4	-3	-1.260	0.560	-0.420	-351	23.629	276	
2296179	42	1757	-7878	5.124	214.354	-961.116	-8	4	-4	-1.120	0.560	-0.560	-351	23.629	276	
2297183	22	1766	-7878	2.684	215.452	-961.116	-8	3	-3	-1.120	0.420	-0.420	-351	23.629	204	
2298187	41	1767	-7872	5.002	215.574	-960.384	-7	4	-4	-0.980	0.560	-0.560	-351	23.629	204	
2299190	44	1756	-7882	5.368	214.232	-961.604	-7	5	-3	-0.980	0.700	-0.420	-351	23.629	204	
2300194	31	1768	-7885	3.782	215.696	-961.970	-6	4	-3	-0.840	0.560	-0.420	-351	23.629	204	
2301198	25	1778	-7920	3.050	216.916	-966.240	-6	4	-3	-0.840	0.560	-0.420	-351	23.629	244	
2302201	41	1761	-7880	5.002	214.842	-961.360	-6	4	-5	-0.840	0.560	-0.700	-351	23.629	244	
2303204	48	1785	-7883	5.856	217.770	-961.726	-7	4	-5	-0.980	0.560	-0.700	-351	23.629	244	
2304208	24	1768	-7877	2.928	215.696	-960.994	-7	4	-3	-0.980	0.560	-0.420	-351	23.629	244	
2305212	38	1757	-7868	4.636	214.354	-959.896	-7	2	-4	-0.980	0.280	-0.560	-351	23.629	208	
2306215	35	1774	-7858	4.270	216.428	-958.676	-6	2	-4	-0.840	0.280	-0.560	-351	23.629	208	
2307219	37	1767	-7876	4.514	215.574	-960.872	-7	2	-4	-0.980	0.280	-0.560	-351	23.629	208	
2308223	48	1790	-7880	5.856	218.380	-961.360	-8	4	-3	-1.120	0.560	-0.420	-351	23.629	208	
2309226	46	1787	-7885	5.612	218.014	-961.970	-6	4	-3	-0.840	0.560	-0.420	-351	23.629	172	
2310229	30	1784	-7864	3.660	217.648	-959.408	-8	3	-4	-1.120	0.420	-0.560	-351	23.629	172	
2311233	37	1808	-7894	4.514	220.576	-963.068	-8	4	-4	-1.120	0.560	-0.560	-351	23.629	172	
2312237	39	1809	-7891	4.758	220.698	-962.702	-7	3	-3	-0.980	0.420	-0.420	-351	23.629	172	
2313240	28	1804	-7889	3.416	220.088	-962.458	-9	3	-3	-1.260	0.420	-0.420	-351	23.629	220	
2314243	29	1819	-7856	3.538	221.918	-958.432	-8	1	-3	-1.120	0.140	-0.420	-351	23.629	220	
2315247	33	1816	-7879	4.026	221.552	-961.238	-8	4	-2	-1.120	0.560	-0.280	-351	23.629	220	
2316250	50	1814	-7876	6.100	221.308	-960.872	-6	2	-5	-0.840	0.280	-0.700	-351	23.629	220	
2317253	47	1843	-7868	5.734	224.846	-959.896	-6	1	-4	-0.840	0.140	-0.560	-351	23.629	232	
2318257	35	1832	-7852	4.270	223.504	-957.944	-8	1	-3	-1.120	0.140	-0.420	-351	23.629	232	
2319261	27	1820	-7840	3.294	222.040	-956.480	-7	3	-3	-0.980	0.420	-0.420	-351	23.629	232	
2320264	35	1846	-7868	4.270	225.212	-959.896	-8	4	-3	-1.120	0.560	-0.420	-351	23.629	232	
2321267	47	1851	-7877	5.734	225.822	-960.994	-6	2	-3	-0.840	0.280	-0.420	-351	23.629	264	
2322271	26	1858	-7857	3.172	226.676	-958.554	-5	2	-3	-0.700	0.280	-0.420	-351	23.629	264	
2323274	34	1857	-7867	4.148	226.554	-959.774	-7	3	-2	-0.980	0.420	-0.280	-351	23.629	264	
2324277	10	1851	-7848	1.220	225.822	-957.456	-6	3	-3	-0.840	0.420	-0.420	-351	23.629	264	
2325281	32	1859	-7867	3.904	226.798	-959.774	-4	2	-3	-0.560	0.280	-0.420	-351	23.629	260	
2326285	15	1875	-7847	1.830	228.750	-957.334	-6	2	-2	-0.840	0.280	-0.280	-351	23.629	260	
2327288	27	1875	-7869	3.294	228.750	-960.018	-5	2	-3	-0.700	0.280	-0.420	-351	23.629	260	
2328291	28	1843	-7855	3.416	224.846	-958.310	-3	1	-3	-0.420	0.140	-0.420	-351	23.629	260	
2329295	18	1857	-7869	2.196	226.554	-960.018	-4	1	-3	-0.560	0.140	-0.420	-351	23.629	280	
2330299	10	1837	-7868	1.220	224.114	-959.896	-4	1	-1	-0.560	0.140	-0.140	-351	23.629	280	
2331302	11	1856	-7889	1.342	226.432	-962.458	-2	1	-1	-0.280	0.140	-0.140	-351	23.629	280	
2332306	33	1856	-7867	4.026	226.432	-959.774	-1	1	-2	-0.140	0.140	-0.280	-351	23.629	280	
2333310	17	1869	-7867	2.074	228.018	-959.774	-2	2	-1	-0.280	0.280	-0.140	-351	23.629	276	
2334313	10	1852	-7866	1.220	225.944	-959.652	-1	1	0	-0.140	0.140	0.000	-351	23.629	276	
2335316	8	1865	-7874	0.976	227.530	-960.628	-1	3	-1	-0.140	0.420	-0.140	-351	23.629	276	
2336320	26	1859	-7893	3.172	226.798	-962.946	-1	4	-1	-0.140	0.560	-0.140	-351	23.629	276	
2337324	10	1846	-7873	1.220	225.212	-960.506	-1	2	-1	-0.140	0.280	-0.140	-351	23.629	256	
2338327	0	1864	-7875	0.000	227.408	-960.750	1	2	-1	0.140	0.280	-0.140	-351	23.629	256	
2339330	-1	1856	-7873	-0.122	226.432	-960.506	0	2	0	0.000	0.280	0.000	-351	23.629	256	
2340334	-4	1840	-7882	-0.488	224.480	-961.604	0	2	-2	0.000	0.280	-0.280	-351	23.629	256	
2341337	-2	1832	-7868	-0.244	223.504	-959.896	-1	2	0	-0.140	0.280	0.000	-351	23.629	216	
2342340	-7	1827	-7868	-0.854	222.894	-959.896	2	3	-1	0.280	0.420	-0.140	-351	23.629	216	
2343344	4	1822	-7885	0.488	222.284	-961.970	2	2	0	0.280	0.280	0.000	-351	23.629	216	
2344348	-1	1819	-7886	-0.122	221.918	-962.092	2	4	-1	0.280	0.560	-0.140	-351	23.629	216	
2345351	-7	1836	-7872	-0.854	223.992	-960.384	3	3	0	0.420	0.420	0.000	-351	23.629	240	
2346355	-4	1817	-7864	-0.488	221.674	-959.408	4	4	0	0.560	0.560	0.000	-351	23.629	240	
2347359	-19	1829	-7887	-2.318	223.138	-962.214	2	4	0	0.280	0.560	0.000	-351	23.629	240	
2348362	-3	1817	-7875	-0.366	221.674	-960.750	2	3	1	0.280	0.420	0.140	-351	23.629	240	
2349365	-2	1811	-7881	-0.244	220.942	-961.482	4	4	0	0.560	0.560	0.000	-351	23.629	204	
2350369	-35	1819	-7915	-4.270	221.918	-965.630	5	4	0	0.700	0.560	0.000	-351	23.629	204	
2351373	-1	1791	-7896	-0.122	218.502	-963.312	3	4	0	0.420	0.560	0.000	-351	23.629	204	
2352376	-11	1803	-7887	-1.342	219.966	-962.214	5	4	0	0.700	0.560	0.000	-351	23.629	204	
2353379	8	1784	-7895	0.976	217.648	-963.190	4	5	0	0.560	0.700	0.000	-351	23.629	240	
2354383	3	1781	-7897	0.366	217.282	-963.434	4	5	0	0.560	0.700	0.000	-351	23.629	240	
2355386	4	1782	-7891	0.488	217.404	-962.702	4	3	0	0.560	0.420	0.000	-351	23.629	240	
2356389	-8	1783	-7890	-0.976	217.526	-962.580	5	4	0	0.700	0.560	0.000	-351	23.629	240	
2357393	6	1790	-7904	0.732	218.380	-964.288	4	4	0	0.560	0.560	0.000	-351	23.629	220	
2358397	17	1775	-7914	2.074	216.550	-965.508	3	4	0	0.420	0.560	0.000	-351	23.629	220	
2359400	35	1757	-7901	4.270	214.354	-963.922	4	5	0	0.560	0.700	0.000	-351	23.629	220	
2360403	4	1766	-7888	0.488	215.452	-962.336	4	4	0	0.560	0.560	0.000	-351	23.629	220	
2361407	13	1773	-7892	1.586	216.306	-962.824	3	4	1	0.420	0.560	0.140	-351	23.629	184	
2362410	24	1742	-7891	2.928	212.524	-962.702	4	7	1	0.560	0.980	0.140	-351	23.629	184	
2363413	13	1771	-7903	1.586	216.062	-964.166	4	6	2	0.560	0.840	0.280	-351	23.629	184	
2364417	21	1758	-7885	2.562	214.476	-961.970	3	5	1	0.420	0.700	0.140	-351	23.629	184	
2365421	13	1756	-7907	1.586	214.232	-964.654	4	6	0	0.560	0.840	0.000	-351	23.629	252	
2366424	17	1768	-7891	2.074	215.696	-962.702	3	6	1	0.420	0.840	0.140	-351	23.629	252	
2367427	21	1746	-7911	2.562	213.012	-965.142	3	6	0	0.420	0.840	0.000	-351	23.629	252	
2368431	27	1755	-7909	3.294	214.110	-964.898	4	6	0	0.560	0.840	0.000	-351	23.629	252	
2369434	23	1760	-7918	2.806	214.720	-965.996	4	7	1	0.560	0.980	0.140	-351	23.629	232	
2370437	33	1775	-7914	4.026	216.550	-965.508	2	7	0	0.280	0.980	0.000	-351	23.629	232	
2371441	44	1754	-7891	5.368	213.988	-962.702	3	5	0	0.420	0.700	0.000	-351	23.629	232	
2372445	44	1743	-7882	5.368	212.646	-961.604	4	6	1	0.560	0.840	0.140	-351	23.629	232	
2373448	51	1768	-7905	6.222	215.696	-964.410	4	5	1	0.560	0.700	0.140	-351	23.629	180	
2374451	49	1733	-7899	5.978	211.426	-963.678	2	4	0	0.280	0.560	0.000	-351	23.629	180	
2375455	54	1748	-7914	6.588	213.256	-965.508	2	6	0	0.280	0.840	0.000	-351	23.629	180	
2376458	57	1756	-7892	6.954	214.232	-962.824	0	5	0	0.000	0.700	0.000	-351	23.629	180	
2377461	57	1739	-7896	6.954	212.158	-963.312	2	4	0	0.280	0.560	0.000	-351	23.629	268	
2378465	41	1763	-7891	5.002	215.086	-962.702	3	5	1	0.420	0.700	0.140	-351	23.629	268	
2379469	53	1742	-7875	6.466	212.524	-960.750	1	4	1	0.140	0.560	0.140	-351	23.629	268	
2380472	42	1735	-7900	5.124	211.670	-963.800	0	5	1	0.000	0.700	0.140	-351	23.629	268	
2381475	59	1752	-7896	7.198	213.744	-963.312	0	5	1	0.000	0.700	0.140	-351	23.629	248	
2382479	64	1749	-7900	7.808	213.378	-963.800	2	5	1	0.280	0.700	0.140	-351	23.629	248	
2383482	58	1746	-7885	7.076	213.012	-961.970	0	4	2	0.000	0.560	0.280	-351	23.629	248	
2384485	59	1742	-7888	7.198	212.524	-962.336	2	5	2	0.280	0.700	0.280	-351	23.629	248	
2385488	77	1754	-7905	9.394	213.988	-964.410	1	5	1	0.140	0.700	0.140	-351	23.629	208	
2386492	56	1737	-7886	6.832	211.914	-962.092	-1	5	1	-0.140	0.700	0.140	-351	23.629	208	
2387495	73	1758	-7913	8.906	214.476	-965.386	1	4	2	0.140	0.560	0.280	-351	23.629	208	
2388498	56	1755	-7888	6.832	214.110	-962.336	1	4	1	0.140	0.560	0.140	-351	23.629	208	
2389502	58	1766	-7905	7.076	215.452	-964.410	-1	5	1	-0.140	0.700	0.140	-351	23.629	236	
2390506	71	1741	-7917	8.662	212.402	-965.874	0	5	2	0.000	0.700	0.280	-351	23.629	236	
2391509	62	1762	-7928	7.564	214.964	-967.216	1	3	2	0.140	0.420	0.280	-351	23.629	236	
2392512	68	1763	-7903	8.296	215.086	-964.166	1	4	2	0.140	0.560	0.280	-351	23.629	236	
2393516	76	1752	-7926	9.272	213.744	-966.972	1	3	1	0.140	0.420	0.140	-351	23.629	264	
2394519	78	1742	-7890	9.516	212.524	-962.580	0	2	2	0.000	0.280	0.280	-351	23.629	264	
2395522	61	1778	-7902	7.442	216.916	-964.044	0	3	2	0.000	0.420	0.280	-347	23.645	264	
2396526	83	1751	-7876	10.126	213.622	-960.872	0	3	2	0.000	0.420	0.280	-347	23.645	264	
2397530	72	1759	-7901	8.784	214.598	-963.922	-2	2	1	-0.280	0.280	0.140	-347	23.645	176	
2398533	80	1761	-7906	9.760	214.842	-964.532	1	3	1	0.140	0.420	0.140	-347	23.645	176	
2399536	71	1776	-7920	8.662	216.672	-966.240	-1	1	2	-0.140	0.140	0.280	-347	23.645	176	
2400540	77	1765	-7885	9.394	215.330	-961.970	-1	1	2	-0.140	0.140	0.280	-347	23.645	176	
2401543	62	1761	-7878	7.564	214.842	-961.116	-1	1	2	-0.140	0.140	0.280	-347	23.645	248	
2402546	64	1759	-7891	7.808	214.598	-962.702	1	0	2	0.140	0.000	0.280	-347	23.645	248	
2403550	76	1769	-7923	9.272	215.818	-966.606	-1	2	2	-0.140	0.280	0.280	-347	23.645	248	
2404554	65	1784	-7897	7.930	217.648	-963.434	0	1	2	0.000	0.140	0.280	-347	23.645	248	
2405557	63	1774	-7893	7.686	216.428	-962.946	1	0	2	0.140	0.000	0.280	-347	23.645	236	
2406560	70	1763	-7877	8.540	215.086	-960.994	0	1	3	0.000	0.140	0.420	-347	23.645	236	
2407564	69	1757	-7894	8.418	214.354	-963.068	0	1	3	0.000	0.140	0.420	-347	23.645	236	
2408567	75	1751	-7901	9.150	213.622	-963.922	2	3	3	0.280	0.420	0.420	-347	23.645	236	
2409570	66	1757	-7883	8.052	214.354	-961.726	0	2	2	0.000	0.280	0.280	-347	23.645	200	
2410574	63	1749	-7892	7.686	213.378	-962.824	0	-1	2	0.000	-0.140	0.280	-347	23.645	200	
2411578	68	1763	-7901	8.296	215.086	-963.922	-1	-1	1	-0.140	-0.140	0.140	-347	23.645	200	
2412581	45	1751	-7868	5.490	213.622	-959.896	-1	1	2	-0.140	0.140	0.280	-347	23.645	200	
2413584	44	1739	-7892	5.368	212.158	-962.824	1	0	2	0.140	0.000	0.280	-347	23.645	244	
2414588	70	1750	-7885	8.540	213.500	-961.970	0	1	3	0.000	0.140	0.420	-347	23.645	244	
2415591	71	1738	-7889	8.662	212.036	-962.458	0	0	2	0.000	0.000	0.280	-347	23.645	244	
2416594	46	1759	-7900	5.612	214.598	-963.800	-1	2	2	-0.140	0.280	0.280	-347	23.645	244	
2417598	30	1751	-7877	3.660	213.622	-960.994	-1	1	2	-0.140	0.140	0.280	-347	23.645	232	
2418602	38	1760	-7909	4.636	214.720	-964.898	0	-1	2	0.000	-0.140	0.280	-347	23.645	232	
2419605	45	1764	-7907	5.490	215.208	-964.654	0	0	3	0.000	0.000	0.420	-347	23.645	232	
2420608	56	1739	-7890	6.832	212.158	-962.580	-1	0	3	-0.140	0.000	0.420	-347	23.645	232	
2421612	57	1785	-7880	6.954	217.770	-961.360	0	0	3	0.000	0.000	0.420	-347	23.645	180	
2422615	44	1758	-7900	5.368	214.476	-963.800	0	0	3	0.000	0.000	0.420	-347	23.645	180	
2423618	49	1774	-7920	5.978	216.428	-966.240	0	0	3	0.000	0.000	0.420	-347	23.645	180	
2424622	35	1754	-7878	4.270	213.988	-961.116	-1	2	4	-0.140	0.280	0.560	-347	23.645	180	
2425626	43	1761	-7877	5.246	214.842	-960.994	0	1	3	0.000	0.140	0.420	-347	23.645	204	
2426629	39	1773	-7881	4.758	216.306	-961.482	1	2	4	0.140	0.280	0.560	-347	23.645	204	
2427632	49	1761	-7869	5.978	214.842	-960.018	0	0	3	0.000	0.000	0.420	-351	23.629	204	
2428636	64	1757	-7880	7.808	214.354	-961.360	1	1	3	0.140	0.140	0.420	-351	23.629	204	
2429640	57	1757	-7871	6.954	214.354	-960.262	1	1	3	0.140	0.140	0.420	-351	23.629	240	
2430643	71	1760	-7894	8.662	214.720	-963.068	0	1	3	0.000	0.140	0.420	-351	23.629	240	
2431646	64	1758	-7878	7.808	214.476	-961.116	-1	1	3	-0.140	0.140	0.420	-351	23.629	240	
2432650	54	1756	-7876	6.588	214.232	-960.872	2	1	3	0.280	0.140	0.420	-351	23.629	240	
2433653	63	1762	-7852	7.686	214.964	-957.944	2	0	3	0.280	0.000	0.420	-351	23.629	204	
2434656	47	1762	-7867	5.734	214.964	-959.774	3	1	3	0.420	0.140	0.420	-351	23.629	204	
2435660	64	1754	-7883	7.808	213.988	-961.726	3	2	4	0.420	0.280	0.560	-351	23.629	204	
2436664	80	1737	-7875	9.760	211.914	-960.750	2	1	4	0.280	0.140	0.560	-351	23.629	204	
